order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,delivery_time,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,status,product_id,product_category_name,product_weight_g,price,freight_value
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,2017-10-02 10:56:33,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18,8.0,7c396fd4830fd04220f754e42b4e5bff,3149,sao paulo,SP,Active,87285b34884572647811a353c7ac498a,utilidades_domesticas,500.0,29.99,8.72
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2018-07-24 20:41:37,2018-07-26 03:24:27,2018-07-26 14:31:00,2018-08-07 15:27:45,2018-08-13,14.0,af07308b275d755c9edb36a90c618231,47813,barreiras,BA,Active,595fac2a385ac33a80bd5114aec74eb8,perfumaria,400.0,118.7,22.76
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,2018-08-08 08:38:49,2018-08-08 08:55:23,2018-08-08 13:50:00,2018-08-17 18:06:29,2018-09-04,9.0,3a653a41f6f9fc3d2a113cf8398680e8,75265,vianopolis,GO,Active,aa4383b373c6aca5d8797843e5594415,automotivo,420.0,159.9,19.22
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,2017-11-18 19:28:06,2017-11-18 19:45:59,2017-11-22 13:39:59,2017-12-02 00:28:42,2017-12-15,13.0,7c142cf63193a1473d2e66489a9ae977,59296,sao goncalo do amarante,RN,Active,d0b61bfb1de832b15ba9d266ca96e5b0,pet_shop,450.0,45.0,27.2
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,delivered,2018-02-13 21:18:39,2018-02-13 22:20:29,2018-02-14 19:46:34,2018-02-16 18:17:02,2018-02-26,3.0,72632f0f9dd73dfee390c9b22eb56dd6,9195,santo andre,SP,Active,65266b2da20d04dbe00c5c2d3bb7859e,papelaria,250.0,19.9,8.72
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,delivered,2017-07-09 21:57:05,2017-07-09 22:10:13,2017-07-11 14:58:04,2017-07-26 10:57:55,2017-08-01,17.0,80bb27c7c16e8f973207a5086ab329e2,86320,congonhinhas,PR,Active,060cb19345d90064d1015407193c233d,automotivo,7150.0,147.9,27.36
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,2017-04-11 12:22:08,2017-04-13 13:25:17,2018-02-27 04:31:10,2018-02-27 04:31:10,2017-05-09,322.0,36edbb3fb164b1f16485364b6fb04c73,98900,santa rosa,RS,Active,a1804276d9941ac0733cfd409f5206eb,cama_mesa_banho,600.0,49.9,16.05
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,delivered,2017-05-16 13:10:30,2017-05-16 13:22:11,2017-05-22 10:07:46,2017-05-26 12:55:51,2017-06-07,10.0,932afa1e708222e5821dac9cd5db4cae,26525,nilopolis,RJ,Active,4520766ec412348b8d4caa5e8a18c464,automotivo,50.0,59.99,15.17
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,delivered,2017-01-23 18:29:09,2017-01-25 02:50:47,2017-01-26 14:16:31,2017-02-02 14:08:10,2017-03-06,10.0,39382392765b6dc74812866ee5ee92a7,99655,faxinalzinho,RS,Active,ac1789e492dcd698c5c10b97a671243a,moveis_decoracao,300.0,19.9,16.05
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,delivered,2017-07-29 11:55:02,2017-07-29 12:05:32,2017-08-10 19:45:24,2017-08-16 17:14:30,2017-08-23,18.0,299905e3934e9e181bfb2e164dd4b4f8,18075,sorocaba,SP,Active,9a78fb9862b10749a117f7fc3c31f051,moveis_escritorio,9750.0,149.99,19.77
